k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
10;0,999992132;7,86781E-06;1;1,33E-15;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;1,33E-15;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;1,78E-15;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;1,78E-15;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;1,78E-15;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;2,66E-15;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;1,78E-15;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;2,66E-15;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;1,78E-15;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;3,55E-15;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
11;0,999992132;7,86781E-06;1;1,643E-14;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;2,087E-14;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;2,132E-14;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;2,398E-14;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;1,954E-14;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;2,487E-14;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;2,309E-14;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;2,398E-14;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;2,309E-14;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;2,487E-14;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
12;0,999992132;7,86781E-06;1;-4E-15;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;-4,88E-15;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;-5,33E-15;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;-5,33E-15;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;-3,55E-15;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;-4,44E-15;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;-1,78E-15;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;-3,55E-15;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;-3,55E-15;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;-3,55E-15;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
13;0,999992132;7,86781E-06;1;-1,998E-14;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;-2,531E-14;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;-2,576E-14;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;-2,842E-14;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;-2,398E-14;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;-2,842E-14;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;-2,842E-14;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;-2,842E-14;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;-2,842E-14;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;-2,842E-14;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
14;0,999992132;7,86781E-06;1;3,508E-14;0,999989748;1,0252E-05
;1,999989986;1,00136E-05;2;4,308E-14;1,999987245;1,27554E-05
;2,999990463;9,53674E-06;3;4,396E-14;2,999987602;1,23978E-05
;3,999989271;1,07288E-05;4;4,752E-14;3,999986649;1,33514E-05
;4,999990463;9,53674E-06;5;4,174E-14;4,999988079;1,19209E-05
;5,99998951;1,04904E-05;6;4,885E-14;5,999986649;1,33514E-05
;6,999989033;1,09673E-05;7;4,974E-14;6,999985695;1,43051E-05
;7,999989033;1,09673E-05;8;4,974E-14;7,999986649;1,33514E-05
;8,99998951;1,04904E-05;9;4,974E-14;8,999986649;1,33514E-05
;9,99998951;1,04904E-05;10;4,974E-14;9,999986649;1,33514E-05
