w;x;x*-x;iterations;
0,13;0,999143;0,000857274;1 958;
;1,99896;0,00104332;;
;2,99888;0,00111688;;
;3,99884;0,00116104;;
;4,99887;0,0011336;;
;5,99896;0,00103655;;
;6,99898;0,00102499;;
;7,99896;0,00104052;;
w;x;x*-x;iterations;
0,14;0,999143;0,00085661;1 809;
;1,99896;0,00104247;;
;2,99888;0,00111593;;
;3,99884;0,00116001;;
;4,99887;0,00113254;;
;5,99896;0,00103555;;
;6,99898;0,00102398;;
;7,99896;0,00103944;;
w;x;x*-x;iterations;
0,15;0,99914;0,000859648;1 679;
;1,99895;0,00104612;;
;2,99888;0,0011198;;
;3,99884;0,00116398;;
;4,99886;0,00113637;;
;5,99896;0,00103902;;
;6,99897;0,00102739;;
;7,99896;0,00104285;;
w;x;x*-x;iterations;
0,16;0,999141;0,000859262;1 566;
;1,99895;0,00104561;;
;2,99888;0,00111921;;
;3,99884;0,00116332;;
;4,99886;0,00113567;;
;5,99896;0,00103835;;
;6,99897;0,0010267;;
;7,99896;0,0010421;;
w;x;x*-x;iterations;
0,17;0,999145;0,000855399;1 467;
;1,99896;0,00104086;;
;2,99889;0,00111409;;
;3,99884;0,00115795;;
;4,99887;0,00113038;;
;5,99897;0,00103348;;
;6,99898;0,00102186;;
;7,99896;0,00103713;;
w;x;x*-x;iterations;
0,18;0,999143;0,000856711;1 378;
;1,99896;0,00104241;;
;2,99888;0,00111571;;
;3,99884;0,00115958;;
;4,99887;0,00113192;;
;5,99897;0,00103486;;
;6,99898;0,0010232;;
;7,99896;0,00103844;;
w;x;x*-x;iterations;
0,19;0,999145;0,000854533;1 299;
;1,99896;0,00103972;;
;2,99889;0,00111278;;
;3,99884;0,00115649;;
;4,99887;0,00112885;;
;5,99897;0,00103202;;
;6,99898;0,00102037;;
;7,99896;0,00103551;;
w;x;x*-x;iterations;
0,2;0,999142;0,000857599;1 227;
;1,99896;0,0010434;;
;2,99888;0,00111668;;
;3,99884;0,00116049;;
;4,99887;0,0011327;;
;5,99896;0,00103551;;
;6,99898;0,00102379;;
;7,99896;0,00103893;;
w;x;x*-x;iterations;
0,21;0,999146;0,000853617;1 163;
;1,99896;0,00103851;;
;2,99889;0,0011114;;
;3,99885;0,00115495;;
;4,99887;0,00112724;;
;5,99897;0,00103049;;
;6,99898;0,0010188;;
;7,99897;0,00103381;;
w;x;x*-x;iterations;
0,22;0,999145;0,000854915;1 104;
;1,99896;0,00104004;;
;2,99889;0,001113;;
;3,99884;0,00115656;;
;4,99887;0,00112876;;
;5,99897;0,00103185;;
;6,99898;0,00102011;;
;7,99896;0,00103509;;
w;x;x*-x;iterations;
0,23;0,999143;0,000857116;1 050;
;1,99896;0,00104267;;
;2,99888;0,00111577;;
;3,99884;0,00115939;;
;4,99887;0,00113146;;
;5,99897;0,00103428;;
;6,99898;0,0010225;;
;7,99896;0,00103745;;
w;x;x*-x;iterations;
0,24;0,999144;0,000855734;1 001;
;1,99896;0,00104094;;
;2,99889;0,00111388;;
;3,99884;0,00115736;;
;4,99887;0,00112943;;
;5,99897;0,0010324;;
;6,99898;0,00102061;;
;7,99896;0,00103547;;
w;x;x*-x;iterations;
0,25;0,999146;0,000853729;956;
;1,99896;0,00103845;;
;2,99889;0,00111117;;
;3,99885;0,0011545;;
;4,99887;0,00112658;;
;5,99897;0,00102976;;
;6,99898;0,00101797;;
;7,99897;0,00103274;;
w;x;x*-x;iterations;
0,26;0,999145;0,000855326;914;
;1,99896;0,00104035;;
;2,99889;0,00111315;;
;3,99884;0,0011565;;
;4,99887;0,00112848;;
;5,99897;0,00103146;;
;6,99898;0,00101963;;
;7,99897;0,00103436;;
w;x;x*-x;iterations;
0,27;0,99915;0,000849637;876;
;1,99897;0,00103338;;
;2,99889;0,00110565;;
;3,99885;0,00114865;;
;4,99888;0,00112076;;
;5,99898;0,00102437;;
;6,99899;0,00101259;;
;7,99897;0,00102717;;
w;x;x*-x;iterations;
0,28;0,99915;0,000849983;840;
;1,99897;0,00103375;;
;2,99889;0,001106;;
;3,99885;0,00114896;;
;4,99888;0,00112101;;
;5,99898;0,00102456;;
;6,99899;0,00101275;;
;7,99897;0,00102727;;
w;x;x*-x;iterations;
0,29;0,999145;0,000854627;806;
;1,99896;0,00103935;;
;2,99889;0,00111194;;
;3,99884;0,00115508;;
;4,99887;0,00112692;;
;5,99897;0,00102993;;
;6,99898;0,00101803;;
;7,99897;0,00103256;;
w;x;x*-x;iterations;
0,3;0,999147;0,000852512;775;
;1,99896;0,00103672;;
;2,99889;0,00110909;;
;3,99885;0,00115206;;
;4,99888;0,00112391;;
;5,99897;0,00102715;;
;6,99898;0,00101525;;
;7,99897;0,00102968;;
w;x;x*-x;iterations;
0,31;0,99915;0,000850368;746;
;1,99897;0,00103406;;
;2,99889;0,0011062;;
;3,99885;0,001149;;
;4,99888;0,00112087;;
;5,99898;0,00102433;;
;6,99899;0,00101243;;
;7,99897;0,00102676;;
w;x;x*-x;iterations;
0,32;0,999154;0,000846328;719;
;1,99897;0,0010291;;
;2,9989;0,00110084;;
;3,99886;0,00114337;;
;4,99888;0,00111532;;
;5,99898;0,00101922;;
;6,99899;0,00100736;;
;7,99898;0,00102155;;
w;x;x*-x;iterations;
0,33;0,999151;0,000848805;693;
;1,99897;0,00103206;;
;2,9989;0,00110395;;
;3,99885;0,00114655;;
;4,99888;0,00111836;;
;5,99898;0,00102197;;
;6,99899;0,00101004;;
;7,99898;0,00102421;;
w;x;x*-x;iterations;
0,34;0,999154;0,000846264;669;
;1,99897;0,00102891;;
;2,9989;0,00110054;;
;3,99886;0,00114295;;
;4,99889;0,00111478;;
;5,99898;0,00101866;;
;6,99899;0,00100674;;
;7,99898;0,0010208;;
w;x;x*-x;iterations;
0,35;0,999152;0,000847798;646;
;1,99897;0,00103073;;
;2,9989;0,00110243;;
;3,99886;0,00114485;;
;4,99888;0,00111658;;
;5,99898;0,00102026;;
;6,99899;0,00100829;;
;7,99898;0,00102231;;
w;x;x*-x;iterations;
0,36;0,999159;0,00084108;625;
;1,99898;0,0010225;;
;2,99891;0,00109359;;
;3,99886;0,0011356;;
;4,99889;0,0011075;;
;5,99899;0,00101193;;
;6,999;0,00100003;;
;7,99899;0,00101386;;
w;x;x*-x;iterations;
0,37;0,999152;0,000847685;604;
;1,99897;0,00103048;;
;2,9989;0,00110207;;
;3,99886;0,00114435;;
;4,99888;0,00111596;;
;5,99898;0,00101963;;
;6,99899;0,0010076;;
;7,99898;0,00102148;;
w;x;x*-x;iterations;
0,38;0,999157;0,000843426;585;
;1,99897;0,00102524;;
;2,9989;0,00109642;;
;3,99886;0,00113842;;
;4,99889;0,00111012;;
;5,99899;0,00101425;;
;6,999;0,00100226;;
;7,99898;0,00101599;;
w;x;x*-x;iterations;
0,39;0,999161;0,000838803;567;
;1,99898;0,00101957;;
;2,99891;0,0010903;;
;3,99887;0,001132;;
;4,9989;0,00110379;;
;5,99899;0,00100843;;
;6,999;0,000996479;;
;7,99899;0,00101007;;
w;x;x*-x;iterations;
0,4;0,999154;0,000845792;549;
;1,99897;0,00102801;;
;2,9989;0,00109927;;
;3,99886;0,00114125;;
;4,99889;0,00111275;;
;5,99898;0,00101657;;
;6,999;0,00100449;;
;7,99898;0,00101812;;
w;x;x*-x;iterations;
0,41;0,999162;0,000837832;533;
;1,99898;0,00101827;;
;2,99891;0,00108881;;
;3,99887;0,00113033;;
;4,9989;0,00110203;;
;5,99899;0,00100675;;
;6,99901;0,000994746;;
;7,99899;0,00100817;;
w;x;x*-x;iterations;
0,42;0,99916;0,000840266;517;
;1,99898;0,00102117;;
;2,99891;0,00109185;;
;3,99887;0,00113343;;
;4,9989;0,00110499;;
;5,99899;0,0010094;;
;6,999;0,00099734;;
;7,99899;0,00101073;;
w;x;x*-x;iterations;
0,43;0,999161;0,000839091;502;
;1,99898;0,00101969;;
;2,99891;0,00109021;;
;3,99887;0,00113166;;
;4,9989;0,00110319;;
;5,99899;0,00100772;;
;6,999;0,000995647;;
;7,99899;0,00100895;;
w;x;x*-x;iterations;
0,44;0,999167;0,000833264;488;
;1,99899;0,00101255;;
;2,99892;0,00108252;;
;3,99888;0,00112361;;
;4,9989;0,00109528;;
;5,999;0,00100046;;
;6,99901;0,000988432;;
;7,999;0,00100156;;
w;x;x*-x;iterations;
0,45;0,999163;0,000836662;474;
;1,99898;0,00101661;;
;2,99891;0,00108682;;
;3,99887;0,001128;;
;4,9989;0,00109949;;
