k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);16,12199211120605469;-10,12199211120605469;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);10,30573272705078125;-3,30573272705078125;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-6,38300037384033203;14,38300037384033203;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);4,52978372573852539;4,47021627426147461;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);26,52952003479003906;-16,52952003479003906;
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
11;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-3,83448791503906250;4,83448791503906250;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);9,14675617218017578;-7,14675617218017578;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);3,11169195175170898;-0,11169195175170898;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-13,85893630981445313;17,85893630981445313;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-15,68605136871337891;20,68605041503906250;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);8,98069095611572266;-2,98069095611572266;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-1,62087166309356689;8,62087154388427734;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);10,89397811889648438;-2,89397811889648438;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);50,73473739624023438;-41,73473739624023438;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);2,30400490760803223;7,69599533081054688;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-9,18953990936279297;20,18954086303710938;
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
12;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-3,29901933670043945;4,29901933670043945;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-3,83360362052917480;5,83360385894775391;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);2,78386092185974121;0,21613907814025879;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);5,98299884796142578;-1,98299884796142578;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);1,72434246540069580;3,27565765380859375;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);13,70980644226074219;-7,70980644226074219;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-0,45394131541252136;7,45394134521484375;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);11,60698795318603516;-3,60698795318603516;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-16,06266784667968750;25,06266784667968750;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-3,04593634605407715;13,04593658447265625;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);12,31109905242919922;-1,31109905242919922;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);38,95676422119140625;-26,95676422119140625;
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
13;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-0,23091745376586914;1,23091745376586914;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-4,99538183212280273;6,99538183212280273;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-10,91928768157958984;13,91928768157958984;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);16,01726913452148438;-12,01726913452148438;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-12,03576850891113281;17,03576850891113281;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);22,35891342163085938;-16,35891342163085938;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-11,99217891693115234;18,99217987060546875;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);28,73826026916503906;-20,73826026916503906;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-12,44804954528808594;21,44804954528808594;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);22,19691085815429688;-12,19691085815429688;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);52,46128082275390625;-41,46128082275390625;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-7,48942279815673828;19,48942184448242188;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-18,96608734130859375;31,96608734130859375;
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
14;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-1,78049421310424805;2,78049421310424805;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);0,40613925457000732;1,59386074542999268;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-11,10673713684082031;14,10673713684082031;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-16,98145484924316406;20,98145484924316406;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);14,23556518554687500;-9,23556518554687500;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-0,53299289941787720;6,53299283981323242;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);17,11735534667968750;-10,11735534667968750;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);11,59858417510986328;-3,59858417510986328;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);16,68291282653808594;-7,68291282653808594;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);31,44850349426269531;-21,44850349426269531;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-30,36195182800292969;41,36195373535156250;
